,No Injuries,A Few Injuries,Many Injuries,accuracy,macro avg,weighted avg
precision,0.9599317988064792,0.3,0.5,0.9481171548117154,0.586643932935493,0.9313492207870959
recall,0.9885864793678666,0.14285714285714285,0.07142857142857142,0.9481171548117154,0.40095739788452694,0.9481171548117154
f1-score,0.9740484429065744,0.19354838709677416,0.125,0.9481171548117154,0.4308656100011162,0.9366696307352744
support,1139.0,42.0,14.0,0.9481171548117154,1195.0,1195.0
