,No Injuries,A Few Injuries,Many Injuries,accuracy,macro avg,weighted avg
precision,0.954468802698145,0.0,0.0,0.9472803347280335,0.31815626756604837,0.9097405575507842
recall,0.9938542581211589,0.0,0.0,0.9472803347280335,0.331284752707053,0.9472803347280335
f1-score,0.973763440860215,0.0,0.0,0.9472803347280335,0.32458781362007166,0.9281310118324559
support,1139.0,42.0,14.0,0.9472803347280335,1195.0,1195.0
